               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,    metrics/mAP_0.75,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  34,              1.2918,              1.1382,              1.3452,             0.81973,             0.74722,              0.8191,             0.63281,             0.57662,              1.0591,             0.86983,              1.2401,            0.008911,            0.008911,            0.008911
                  35,              1.2891,              1.1297,               1.338,             0.81664,             0.74661,             0.82059,              0.6329,             0.57737,              1.0541,               0.869,              1.2384,            0.008878,            0.008878,            0.008878
                  36,              1.2792,              1.1097,               1.328,             0.81795,             0.75071,             0.82131,             0.63898,             0.58112,              1.0502,             0.86427,              1.2298,            0.008845,            0.008845,            0.008845
                  37,              1.2762,              1.0993,              1.3233,             0.82285,             0.75272,             0.82399,             0.63865,             0.58202,              1.0491,             0.85448,              1.2306,            0.008812,            0.008812,            0.008812
                  38,              1.2755,              1.1053,              1.3291,             0.82343,             0.75354,             0.82833,             0.64378,             0.58721,              1.0406,             0.84671,              1.2238,            0.008779,            0.008779,            0.008779
                  39,              1.2656,              1.0951,              1.3244,             0.82716,             0.75291,             0.82711,             0.64677,             0.58717,              1.0385,             0.83817,              1.2225,            0.008746,            0.008746,            0.008746
                  40,              1.2632,              1.0964,              1.3211,             0.82532,             0.76411,              0.8329,             0.65056,             0.59187,              1.0344,             0.83136,              1.2189,            0.008713,            0.008713,            0.008713
                  41,              1.2593,              1.0894,              1.3155,             0.82662,              0.7619,             0.83218,             0.65292,             0.59204,              1.0296,             0.82608,              1.2138,             0.00868,             0.00868,             0.00868
                  42,              1.2487,              1.0682,              1.3116,             0.82996,             0.76259,             0.83616,             0.65286,             0.59547,              1.0261,             0.81547,               1.214,            0.008647,            0.008647,            0.008647
                  43,              1.2468,              1.0611,              1.3082,             0.82444,             0.76896,              0.8379,             0.65716,             0.59675,              1.0238,             0.81539,              1.2064,            0.008614,            0.008614,            0.008614
                  44,              1.2365,              1.0468,              1.3041,              0.8273,             0.76912,             0.83849,              0.6583,             0.59918,              1.0208,             0.80959,              1.2066,            0.008581,            0.008581,            0.008581
                  45,              1.2384,              1.0567,              1.3037,             0.82793,             0.76848,             0.84022,             0.66091,              0.6003,              1.0156,             0.80587,               1.203,            0.008548,            0.008548,            0.008548
                  46,              1.2325,              1.0445,              1.2977,             0.83277,             0.77624,             0.84189,             0.66497,              0.6045,              1.0145,             0.79167,              1.2031,            0.008515,            0.008515,            0.008515
                  47,              1.2295,              1.0397,              1.2929,             0.83343,             0.77205,             0.84212,             0.66507,              0.6049,               1.013,             0.79114,              1.2019,            0.008482,            0.008482,            0.008482
                  48,              1.2263,              1.0334,              1.2938,             0.83579,             0.77287,             0.84307,              0.6678,             0.60647,              1.0071,             0.78678,              1.1964,            0.008449,            0.008449,            0.008449
                  49,              1.2269,              1.0262,              1.2876,             0.82736,             0.77873,             0.84557,              0.6714,             0.60936,              1.0019,              0.7838,              1.1913,            0.008416,            0.008416,            0.008416
                  50,              1.2213,              1.0205,              1.2892,             0.83539,               0.775,             0.84616,              0.6715,             0.61121,              1.0017,             0.77744,              1.1907,            0.008383,            0.008383,            0.008383
                  51,              1.2138,              1.0111,              1.2813,             0.83253,             0.77871,             0.84871,             0.67457,             0.61231,              1.0031,             0.77434,              1.1925,             0.00835,             0.00835,             0.00835
                  52,              1.2084,              1.0066,              1.2791,             0.83212,             0.77767,             0.84792,             0.67491,             0.61364,             0.99824,             0.77303,              1.1894,            0.008317,            0.008317,            0.008317
                  53,              1.2099,             0.99356,              1.2723,              0.8341,             0.77948,             0.84901,              0.6764,             0.61504,               0.995,             0.76525,              1.1853,            0.008284,            0.008284,            0.008284
                  54,              1.2117,             0.99735,              1.2776,             0.83574,             0.77718,             0.84923,             0.68022,             0.61644,             0.99428,             0.76194,              1.1832,            0.008251,            0.008251,            0.008251
                  55,              1.2035,             0.99031,              1.2727,             0.83529,             0.78355,             0.85216,             0.68237,             0.61867,             0.99064,             0.75625,              1.1804,            0.008218,            0.008218,            0.008218
                  56,               1.206,             0.99144,              1.2732,             0.83411,             0.78716,             0.85345,             0.68095,             0.61927,             0.99202,             0.75641,              1.1814,            0.008185,            0.008185,            0.008185
                  57,              1.1956,             0.97962,              1.2612,             0.83496,             0.78871,             0.85417,             0.68278,             0.62039,             0.99143,             0.75342,              1.1808,            0.008152,            0.008152,            0.008152
                  58,              1.1938,             0.97882,              1.2668,             0.83931,             0.78454,             0.85302,             0.68394,             0.62071,             0.98816,             0.74953,              1.1775,            0.008119,            0.008119,            0.008119
                  59,              1.1887,             0.97091,              1.2594,             0.84222,             0.78606,             0.85664,             0.68848,             0.62383,              0.9856,             0.74461,               1.176,            0.008086,            0.008086,            0.008086
                  60,              1.1889,             0.97185,              1.2614,             0.84185,             0.78638,             0.85691,             0.68764,             0.62429,              0.9806,             0.74084,              1.1721,            0.008053,            0.008053,            0.008053
                  61,              1.1823,             0.96241,              1.2585,             0.84051,             0.79046,             0.85703,              0.6883,              0.6247,             0.98007,               0.738,              1.1719,             0.00802,             0.00802,             0.00802
                  62,                1.18,             0.96198,              1.2587,             0.83967,             0.79243,             0.85835,             0.68913,             0.62594,              0.9798,             0.73474,              1.1723,            0.007987,            0.007987,            0.007987
                  63,              1.1737,             0.95372,              1.2588,                0.84,             0.79478,             0.85917,             0.68993,             0.62706,             0.97799,             0.73349,              1.1706,            0.007954,            0.007954,            0.007954
                  64,              1.1756,             0.95423,              1.2563,             0.84269,              0.7904,             0.85942,             0.69229,             0.62756,             0.97774,             0.72968,              1.1695,            0.007921,            0.007921,            0.007921
                  65,              1.1736,             0.94283,              1.2498,             0.84344,             0.79435,             0.85945,             0.69393,             0.63006,             0.97437,             0.72617,              1.1669,            0.007888,            0.007888,            0.007888
                  66,              1.1746,             0.94388,              1.2501,             0.84631,               0.796,             0.85989,             0.69387,             0.63072,             0.97273,             0.72409,              1.1653,            0.007855,            0.007855,            0.007855
                  67,              1.1658,             0.93071,               1.241,             0.84795,              0.7955,             0.86107,             0.69325,             0.63127,             0.97024,             0.72317,              1.1645,            0.007822,            0.007822,            0.007822
                  68,              1.1694,             0.93386,              1.2462,             0.84963,             0.79501,             0.86172,             0.69203,             0.63179,             0.96906,             0.71898,              1.1645,            0.007789,            0.007789,            0.007789
                  69,              1.1607,             0.92595,              1.2404,             0.84601,             0.79655,             0.86267,             0.69415,             0.63308,             0.96579,             0.71582,              1.1613,            0.007756,            0.007756,            0.007756
                  70,               1.155,             0.91637,              1.2381,             0.85221,             0.79266,             0.86364,             0.69618,             0.63436,             0.96543,             0.71271,              1.1606,            0.007723,            0.007723,            0.007723
                  71,               1.158,             0.93068,              1.2436,             0.84782,             0.79781,             0.86461,             0.69884,             0.63547,             0.96399,             0.71189,               1.159,             0.00769,             0.00769,             0.00769
                  72,              1.1569,             0.92816,              1.2403,             0.84385,             0.80331,             0.86505,             0.69994,              0.6362,             0.96327,             0.70935,              1.1583,            0.007657,            0.007657,            0.007657
                  73,              1.1536,             0.91513,              1.2369,             0.84678,             0.79859,             0.86417,             0.69922,             0.63578,             0.96358,             0.70804,              1.1587,            0.007624,            0.007624,            0.007624
